,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
14,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,33.67,170.91,5.31,6.01,3.26,4.93,1.63,1.5,11.06,13590000000.0,12310000000.0,N/A,N/A,4.90,45.65,4.90,2170000000.0,1.5,81800000.0,0.35,78.70,13.30,2029999999.9999998,8.92,747200000.0,1.91,9.78,59.82,1.5,0.31,90.40,3730000.0,1.60,1.60,3160000.0,N/A
15,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,170.33,24.82,2.06,2.32,8.65,21.07,4.43,1.5,19.58,7150000000.0,12340000000.0,18.73,2.98,3.57,6.91,3.57,1950000000.0,1.5,299000000.0,1.68,6.50,5.70,70000000.0,0.41,5260000000.0,0.67,17.98,41.77,1.5,0.26,111.50,36370000.0,20.40,25.40,36250000.0,N/A
16,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,101.44,17.65,1.76,1.53,10.04,21.48,3.59,1.5,24.06,10260000000.0,17410000000.0,N/A,N/A,2.98,8.51,2.98,2470000000.0,1.5,587000000.0,2.40,29.70,3.90,5000000.0,0.02,6950000000.0,0.91,27.67,42.29,1.5,0.16,64.50,4900000.0,2.30,2.00,4310000.0,N/A
17,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,N/A,41.21,1.01,2.89,2.45,6.50,7.87,1.5,16.88,3320000000.0,2910000000.0,17.37,1.81,0.89,8.33,0.89,1150000000.0,1.5,88790000.0,0.41,486.20,2.90,410700000.0,2.11,0.00,1.94,5.86,17.02,1.5,14.96,82.00,25400000.0,4.60,N/A,26640000.0,N/A
18,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,122.34,16.90,1.62,1.64,9.60,19.16,3.51,1.5,34.84,27630000000.0,48010000000.0,N/A,N/A,2.82,9.57,2.82,9300000000.0,1.5,1630000000.0,3.34,44.80,6.70,269000000.0,0.55,20580000000.0,0.56,34.37,56.46,1.5,0.06,66.90,3880000.0,1.30,0.80,3900000.0,N/A
19,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,282.45,12.09,0.53,2.11,4.49,16.92,4.57,1.5,23.81,9020000000.0,27680000000.0,9.65,4.25,1.62,6.68,1.62,3090000000.0,1.5,789000000.0,1.06,N/A,8.70,2250000000.0,3.20,20910000000.0,1.12,6.07,12.84,1.5,8.43,86.50,13330000.0,1.80,1.90,10010000.0,N/A
20,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,66.04,18.86,0.64,2.58,3.52,7.08,4.98,1.5,163.16,37360000000.0,43080000000.0,13.33,1.57,0.74,9.10,0.74,15090000000.0,1.5,2040000000.0,5.68,37.10,12.10,3890000000.0,11.16,9610000000.0,0.76,41.40,107.15,1.5,0.41,91.60,4300000.0,1.90,1.30,3850000.0,N/A
21,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,41.61,9.78,1.23,1.53,13.05,20.74,2.43,1.5,50.11,27910000000.0,30880000000.0,N/A,N/A,1.37,6.51,1.37,8359999999.999999,1.5,2950000000.0,6.50,4.10,4.70,4660000000.0,10.61,7640000000.0,0.37,41.47,63.58,1.5,2.97,64.90,6040000.0,3.10,1.40,5140000.0,N/A
22,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,29.10,10.59,1.18,0.71,11.84,18.06,1.36,1.5,44.53,75680000000.0,93890000000.0,9.88,1.19,1.48,5.89,1.48,30800000000.0,1.5,7580000000.0,5.21,66.90,10.10,13000000000.0,9.47,31220000000.0,2.08,77.69,55.14,1.5,0.06,86.20,16190000.000000002,1.70,1.10,12900000.0,N/A
23,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,270.61,18.90,6.39,5.47,32.48,27.67,2.70,1.5,6.54,6090000000.0,10920000000.0,N/A,N/A,11.47,20.06,11.47,603740000.0,1.5,11580000.0,2.06,68.10,4.10,28970000.0,0.19,4139999999.9999995,0.35,7.12,38.96,1.5,0.96,101.50,3600000.0,3.20,3.10,3360000.0,N/A
